problem,population_size,pm,tournament_size,pc,elitism,max_evals,trial_index,seed,best_fitness,best_d,generations,evals_used
BPP1,100,0.01,3,0.8,10,10000,0,20,0.46296296296296297,215.0,110,10000
BPP1,100,0.01,3,0.8,10,10000,1,21,0.5681818181818182,175.0,110,10000
BPP1,100,0.01,3,0.8,10,10000,2,22,0.47393364928909953,210.0,110,10000
BPP1,100,0.01,3,0.8,10,10000,3,23,0.42735042735042733,233.0,110,10000
BPP1,100,0.01,3,0.8,10,10000,4,24,0.3225806451612903,309.0,110,10000
BPP1,100,0.05,3,0.8,10,10000,0,120,0.15625,639.0,110,10000
BPP1,100,0.05,3,0.8,10,10000,1,121,0.136986301369863,729.0,110,10000
BPP1,100,0.05,3,0.8,10,10000,2,122,0.1592356687898089,627.0,110,10000
BPP1,100,0.05,3,0.8,10,10000,3,123,0.1510574018126888,661.0,110,10000
BPP1,100,0.05,3,0.8,10,10000,4,124,0.11862396204033215,842.0,110,10000
BPP1,100,0.01,7,0.8,10,10000,0,220,0.5586592178770949,178.0,110,10000
BPP1,100,0.01,7,0.8,10,10000,1,221,0.6802721088435374,146.0,110,10000
BPP1,100,0.01,7,0.8,10,10000,2,222,0.6097560975609756,163.0,110,10000
BPP1,100,0.01,7,0.8,10,10000,3,223,0.7692307692307693,129.0,110,10000
BPP1,100,0.01,7,0.8,10,10000,4,224,0.6756756756756757,147.0,110,10000
BPP1,100,0.05,7,0.8,10,10000,0,320,0.17064846416382254,585.0,110,10000
BPP1,100,0.05,7,0.8,10,10000,1,321,0.1545595054095827,646.0,110,10000
BPP1,100,0.05,7,0.8,10,10000,2,322,0.13717421124828533,728.0,110,10000
BPP1,100,0.05,7,0.8,10,10000,3,323,0.14771048744460857,676.0,110,10000
BPP1,100,0.05,7,0.8,10,10000,4,324,0.1187648456057007,841.0,110,10000
BPP2,100,0.01,3,0.8,10,10000,0,10020,0.0006642046813145939,150555.0,110,10000
BPP2,100,0.01,3,0.8,10,10000,1,10021,0.0006722869858685276,148745.0,110,10000
BPP2,100,0.01,3,0.8,10,10000,2,10022,0.0006455902954866782,154896.0,110,10000
BPP2,100,0.01,3,0.8,10,10000,3,10023,0.000591892843719573,168948.5,110,10000
BPP2,100,0.01,3,0.8,10,10000,4,10024,0.0006746818874900485,148217.0,110,10000
BPP2,100,0.05,3,0.8,10,10000,0,10120,0.0003290247541773805,303927.5,110,10000
BPP2,100,0.05,3,0.8,10,10000,1,10121,0.00035689303202044283,280195.0,110,10000
BPP2,100,0.05,3,0.8,10,10000,2,10122,0.00033619039134242504,297449.5,110,10000
BPP2,100,0.05,3,0.8,10,10000,3,10123,0.000344888238966163,289948.0,110,10000
BPP2,100,0.05,3,0.8,10,10000,4,10124,0.0003329875812281581,300310.5,110,10000
BPP2,100,0.01,7,0.8,10,10000,0,10220,0.000848219587086705,117893.0,110,10000
BPP2,100,0.01,7,0.8,10,10000,1,10221,0.0006874435007372832,145465.5,110,10000
BPP2,100,0.01,7,0.8,10,10000,2,10222,0.0007911454995688257,126398.0,110,10000
BPP2,100,0.01,7,0.8,10,10000,3,10223,0.0008578867675255543,116564.5,110,10000
BPP2,100,0.01,7,0.8,10,10000,4,10224,0.0009510856642857823,105142.0,110,10000
BPP2,100,0.05,7,0.8,10,10000,0,10320,0.00039478333303724584,253302.5,110,10000
BPP2,100,0.05,7,0.8,10,10000,1,10321,0.0003794980000455398,263505.0,110,10000
BPP2,100,0.05,7,0.8,10,10000,2,10322,0.0003991187458092532,250551.0,110,10000
BPP2,100,0.05,7,0.8,10,10000,3,10323,0.0003925085812188569,254770.5,110,10000
BPP2,100,0.05,7,0.8,10,10000,4,10324,0.00042103667650489037,237508.0,110,10000
